班号	课程类别	有效评估数	评估分数	教师职称	开课学院	学年	学期	平均成绩	教师编号
23859	全校共同课	18	98.29		国际学院	2014-2015	秋季学期	85.105263	2054
23860	全校共同课	18	97.17		国际学院	2014-2015	秋季学期	85.105263	2055
23861	全校共同课	18	99.92		国际学院	2014-2015	秋季学期	77.25	2055
23862	全校共同课	18	99.92		国际学院	2014-2015	秋季学期	77.25	2056
23863	全校共同课	18	100		中法学院	2014-2015	秋季学期	78.84	1964
23864	全校共同课	18	99.04		中法学院	2014-2015	秋季学期	78.84	1930
23865	全校共同课	19	99.17		中法学院	2014-2015	秋季学期	83.6	1964
23866	全校共同课	19	96.76		中法学院	2014-2015	秋季学期	83.6	1930
23867	全校共同课	15	99.9		中法学院	2014-2015	秋季学期	83.473684	1963
23868	全校共同课	17	98.32		中法学院	2014-2015	秋季学期	81.444444	1963
23869	全校共同课	17	98.32		中法学院	2014-2015	秋季学期	81.444444	2057
23870	全校共同课	15	99.6		中法学院	2014-2015	秋季学期	80.444444	1903
23871	全校共同课	17	99.03		中法学院	2014-2015	秋季学期	85.315789	1903
23872	全校共同课	19	98.82		国际学院	2014-2015	秋季学期	79.473684	2058
23873	全校共同课	17	98.9		国际学院	2014-2015	秋季学期	76.1	1989
23874	全校共同课	17	97.22		国际学院	2014-2015	秋季学期	83.578947	2059
23875	全校共同课	17	99.34		国际学院	2014-2015	秋季学期	77.157894	2059
23876	全校共同课	17	96.21		国际学院	2014-2015	秋季学期	83.526315	2059
23877	全校共同课	18	99.83		国际学院	2014-2015	秋季学期	76.8	2058
